B1;B4;B7;B10;B13;B16;B19;B22;B25;B28;B31
Mollusc;Micrite;Echinoderm;Micrite;Brachiopod;Tabulate Coral_Oncoid;;Stromatoporoid;;Microbe;Sparite
Micrite;Brachiopod;Sparite;Sparite;Echinoderm;Micrite;;Stromatoporoid;;Microbe;Crinoid
Micrite;Sparite;Tabulate Coral_Oncoid;;Bryozoan;Micrite;;Stromatoporoid;;Bryozoan;Sparite
Micrite;Micrite;;;Bryozoan;;;Stromatoporoid;;Microbe;Crinoid
Micrite;;;;Echinoderm;;;Stromatoporoid;;Microbe;
Sparite;;;;Bryozoan;;;Stromatoporoid;;Microbe;
Brachiopod;;;;Micrite;;;Stromatoporoid;;Microbe;
Micrite;;;;Sparite;;;Stromatoporoid;;Microbe;
Micrite;;;;Tabulate Coral_Oncoid;;;;;Microbe;
Sparite;;;;Brachiopod;;;;;;
Sparite;;;;Bryozoan;;;;;;
Micrite;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Crinoid;Brachiopod;;;Microbe;;Stromatoporoid;Microbe;;
;Micrite;Crinoid;;Brachiopod;Bryozoan;Micrite;Stromatoporoid;Microbe;;
;Bryozoan;Sparite;;Micrite;Tabulate Coral;;Stromatoporoid;Bryozoan;;
;Bryozoan;Tabulate Coral;;Crinoid;Tabulate Coral;Microbe;Stromatoporoid;Bryozoan;;
;Sparite;Sparite;Bryozoan;Micrite;Micrite;Bryozoan;?;Microbe;;Micrite
;Crinoid;Microbe_Oncoid;Bryozoan;Rothpletzella;Tabulate Coral;Bryozoan;Stromatoporoid;Microbe;;?
;Sparite;Stromatoporoid_Oncoid;Tabulate Coral;Micrite;Bryozoan;Microbe;Stromatoporoid;Microbe;;Micrite
;Crinoid;Stromatoporoid_Oncoid;Tabulate Coral;Micrite;Microbe;Microbe;Microbe;Microbe;;Bryozoan
;Sparite;Stromatoporoid_Oncoid;Micrite;Micrite;Microbe;Bryozoan;Microbe;Microbe;;Bryozoan
;Micrite;Tabulate Coral;Sparite;Micrite;Crinoid;Microbe;Tabulate Coral;Microbe;;Micrite
;Crinoid;Sparite;Bryozoan;Micrite;Crinoid;Crinoid;Tabulate Coral;Echinoderm;?;Stromatoporoid
;Micrite;Sparite;Echinoderm;Brachiopod;Micrite;Crinoid;Tabulate Coral;?;Microbe;Stromatoporoid
;Crinoid;Sparite;Crinoid;Micrite;Micrite;Crinoid;Microbe;Micrite;Bryozoan;Stromatoporoid
;Crinoid;Sparite;Bryozoan;Micrite;Microbe;Microbe;Microbe;Microbe;Bryozoan;Stromatoporoid
;Sparite;?;Bryozoan;Crinoid;Microbe;Microbe;Microbe;Microbe;Rothpletzella;Stromatoporoid
;Micrite;Sparite;Micrite;Tabulate Coral;Tabulate Coral_Oncoid;Microbe;Stromatoporoid;Microbe;Rothpletzella;Stromatoporoid
;Sparite;Sparite;Micrite;Micrite;Microbe_Oncoid;;Stromatoporoid;Micrite;Rothpletzella;?
Micrite;Brachiopod;Tabulate Coral;Bryozoan;Sparite;?;;Stromatoporoid;Microbe;Rothpletzella;Stromatoporoid
Micrite;Sparite;Echinoderm;Micrite;Bryozoan;Microbe;;Stromatoporoid;Microbe;Allonema;Sparite
Micrite;Sparite;Bryozoan;Tabulate Coral;Micrite;Microbe;;Stromatoporoid;Microbe;Microbe;Sparite
Micrite;Micrite;Sparite;Micrite;Crinoid;Microbe;;Stromatoporoid;;Microbe;Sparite
Tabulate Coral;Sparite;Sparite;Micrite;Microbe;Tabulate Coral_Oncoid;;Stromatoporoid;;Allonema;Crinoid
Micrite;Sparite;Sparite;Brachiopod;Microbe;Tabulate Coral_Oncoid;;Stromatoporoid;;Microbe;Micrite
Sparite;Micrite;Echinoderm;Brachiopod;Crinoid;Microbe_Oncoid;;Stromatoporoid;;Microbe;Sparite
Echinoderm;Crinoid;Sparite;Micrite;Crinoid;?;;Stromatoporoid;;Crinoid;Sparite
Brachiopod;;;;Sparite;Micrite;;Stromatoporoid;;Microbe;Sparite
Brachiopod;;;;Sparite;;;Stromatoporoid;;Microbe;Stromatoporoid
Micrite;;;;Crinoid;;;Stromatoporoid;;Microbe;Micrite
Micrite;;;;Tabulate Coral;;;Stromatoporoid;;Microbe;Micrite
?;;;;Microbe;;;Stromatoporoid;;Microbe;
Micrite;;;;Microbe_Oncoid;;;;;Microbe;
Micrite;;;;Crinoid;;;;;Microbe;
Echinoderm;;;;Crinoid;;;;;;
Micrite;;;;Bryozoan;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Sparite;;;Microbe;;;;;
;Crinoid;Micrite;;Sparite;Microbe;Microbe;;Microbe;;
;Sparite;Brachiopod;;Micrite;Microbe;Microbe;Stromatoporoid;Microbe;;
;Trilobite;Sparite;;Micrite;Tabulate Coral;Microbe;Micrite;Microbe;;
;Bryozoan;Bryozoan;;Trilobite;Microbe;Sparite;?;Bryozoan;;Stromatoporoid
;Sparite;Sparite;;Micrite;Micrite;Micrite;Bryozoan;Bryozoan;;Micrite
;Micrite;?;?;Crinoid;?;Bryozoan;Stromatoporoid;Microbe;;Micrite
;Sparite;Stromatoporoid_Oncoid;Crinoid;Brachiopod;Micrite;Bryozoan;Microbe;Bryozoan;Microbe;Micrite
;Sparite;Stromatoporoid_Oncoid;Tabulate Coral;Micrite;Bryozoan;Microbe;Microbe;Bryozoan;Microbe;Stromatoporoid
;Crinoid;Stromatoporoid_Oncoid;Micrite;Micrite;Microbe;Micrite;Microbe;Bryozoan;?;Stromatoporoid
;Crinoid;Sparite;Tabulate Coral;Micrite;Microbe;Microbe;Microbe;Bryozoan;Bryozoan;Stromatoporoid
;Sparite;Sparite;Bryozoan;Micrite;Tabulate Coral_Oncoid;Crinoid;Tabulate Coral;Tabulate Coral;Allonema;Stromatoporoid
;Tabulate Coral_Oncoid;Brachiopod;Echinoderm;Micrite;Microbe;Crinoid;Tabulate Coral;Bryozoan;Allonema;Stromatoporoid
;Crinoid;Brachiopod;Micrite;?;Brachiopod;Crinoid;Tabulate Coral;Micrite;Rothpletzella;Sparite
;Crinoid;Sparite;Micrite;Brachiopod;Microbe;Microbe;Microbe;Microbe;Rothpletzella;Sparite
